textbox3,Month,Year,Date,CropNameUrdu,textbox2
Khudian    View Graph,November - 2015,November,23-November-2022,Mango (Malda),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mango(Anwer Ratol),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mango(Chounsa),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mango(Desahri),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mango Desi,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mango(Sindhri),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Mango Saharni,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Guava,"6,700.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Pomegranate(Badana),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Pomegranate Desi,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Pomegranate(Kandhari),"20,800.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Grapes (Other),NA
Khudian    View Graph,November - 2015,November,23-November-2022,Grapes Sundekhani,"36,000.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Grapes Gola,"25,000.00"
Khudian    View Graph,November - 2015,November,23-November-2022,Peach,NA
Khudian    View Graph,November - 2015,November,23-November-2022,Peach Special,NA
